,tweet,label (KMeans),label (HAC)
13,"2.Bisnis yg terpaksa tutup krn terdampak corona itu tdk hny usaha skala kecil, tapi juga skala besar  Utk mengatasi krisis ini dan mencegah terjadinya resesi, maka pemerintah sudah mengesahkan omnibus law UU Cipta Kerja  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur",1,0
14,Dengan hadirnya UU Omnibus Law Cipta Kerja menunjukkan bahwa pemerintah berusaha untuk membangkitkan ekonomi. UU tersebut menguntungkan pekerja dan tidak merugikan pengusaha. Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur   https://t.co/8gmvtjFS8Z,1,0
15,"4. Dengan pengesahan UU Omnibus Law Cipta Kerja, menunjukkan pemerintah berusaha membangkitkan ekonomi sekaligus menguntungkan Buruh dan juga tidak merugikan Pengusaha ( win - win solution) 👍  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur",1,0
16,"Untuk mengatasi krisis ini dan mencegah terjadinya resesi, maka pemerintah sudah mengesahkan omnibus law UU Cipta Kerja. Undang-Undang ini adalah sebuah harapan baru bagi perekonomian di negeri ini.  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur  https://t.co/eX7mf4prtp",1,0
17,Omnibus Law Rancangan Undang-Undang (RUU) Cipta Kerja yang telah disahkan menjadi Undang-Undang (UU) Cipta Kerja oleh Pemerintah dan DPR pada 5 Oktober 2020 lalu telah menuai polemik panjang.  https://t.co/FOcC7bjSRz Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur,1,0
18,Yuk diskusi di grup telegram Loophole Academy! . #omnibus #omnibuslaw #ciptakerja #uuciptakerja #pemerintah #penanamanmodal #investasi #hukumonline #melekhukum #belajarhukum #klinikhukum #mahasiswahukum #lawyer #pengacara #hotmanparis #bantuanhukum  https://t.co/ND2HrrzjJ4,0,1
19,- OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  World Bank Mendukung Penerapan UU Omnibus Law. Bank Dunia pasti sudah Mengetahui Manfaat yang dilakukan Pemerintah Indonesia yang ingin memulihan Ekonomi dengan Cepat dan Tidak Rumit .  https://t.co/i8DQ9EvSVL,1,0
20,"Pengesahan UU Omnibus Law Cipta Kerja, Menunjukkan pemerintah berusaha membangkitkan ekonomi dan menguntungkan pekerja juga tidak merugikan pengusaha. . OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/A0iucrikJb",1,0
21,Pemerintah RI tidak ada menyengsarakan rakyat atas pemberlakuan UU Omnibus Law. Pemerintah bahkan menjamin kemudahan masyarakat dalam menjalankan usaha dari skala UMKM hingga kalangan investor kakap. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/E2tZZ0f7nm,1,0
22,Omnibus Law Cipta Kerja dinilai tidak hilangkan peran pemerintah daerah OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/xzQBAoJhBc,1,0
23,"Pengesahan omnibus law merupakan usaha pemerintah dalam membangkitkan ekonomi indonesia, terutama di masa pandemi seperti ini. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/rCGsbs72KZ",0,0
24,Pengesahan UU Omnibus Law Cipta Kerja adalah tujuan pemerintah untuk membangkitkan ekonomi dan menguntungkan pekerja juga tidak merugikan pengusaha. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/6YDMKU3qOu,1,0
25,"Polemik UU Omnibus Law, Misbakhun: pemerintah takkan sengsarakan rakyat OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/sGDoXQipH1",1,0
26,Omnibus law UU Ciptaker dinilai lahir sebagai jawaban pemerintah mengatasi rumitnya proses perizinan hingga masih adanya praktik jual beli perizinan berusaha.  https://t.co/rNLElOn5yD OBL Akomodasi Buruh #FaktanyaBuruhSejahtera,1,0
27,"Pemprov Bali melalui Gubernur Wayan Koster mendukung penuh pemberlakukan Omnibus Law UU Cipta Kerja, yang baru saja disahkan DPR RI bersama pemerintah.  OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/OlyVzKfcqr",1,0
28,Pemerintah beserta semua pihak berkomitmen dan yakin bahwa Omnibus Law Cipta Kerja merupakan solusi dari persoalan Bangsa.  Omnibus Law Cipta Kerja memberi manfaat dan kebaikan bagi Rakyat Indonesia. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera   https://t.co/QYaDPKtSoN,1,0
29,"OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  Omnibus Law justru mempermudah Pemerintah untk mencabut Perizinan Berusaha bagi PE RUSAK LINGKUNGAN tuips. Dgn menggabungkan Pengurusan Izin Amdal dgn Pengurusan Perizinan Berusaha, Perusahaan yg melanggar di cabut keduany sekaligus!  https://t.co/Sjuqs0qPKv",1,0
30,"Pengesahan UU Omnibus Law Cipta Kerja, menunjukan pemerintah serius mensejahterakan Rakyat  #FaktanyaBuruhSejahtera  https://t.co/TfGenaKzrV",0,0
31,Undang-undang Cipta Kerja Omnibus Lawmerupakan respon pemerintah terhadap tuntutan masyarakat agar tercipta lapangan kerja yang lebih luas dan berkualitas.   https://t.co/aie9gurqOs OBL Akomodasi Buruh #FaktanyaBuruhSejahtera,1,0
32,Terbitnya omnibus law cipta kerja menunjukkan bahwa pemerintah berusaha membangkitkan ekonomi indonesia serta menguntungkan pekerja. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/sVAtRCSqbM,1,0
33,Pengesahan Omnibus Law menunjukkan pemerintah berusaha membangkitkan ekonomi dan menguntungkan pekerja tidak merugikan pengusaha OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/aXw25JqlJx,1,0
34,"Dengan pengesahan omnibus law cipta kerja, berarti pemerintah berusaha untuk membangkitkan ekonomi masyarakat dimasa seperti ini. OBL Akomodasi Buruh #FaktanyaBuruhSejahtera  https://t.co/dxsIDYPIuN",1,0
35,"Klo UU omnibus law sdh berjalan, makin lebih banyak lagi nelayan asing yg mudah dpt ijin pemerintah pusat mjd makin ugal2an mengeruk kekayaan laut kita.",1,0
36,"@republikaonline Kalo demo omnibus law bisa sampe kayak gini, pemerintah bisa nego nih",0,1
37,"@Anplak1 @detikcom Klo gak mau fpi turun ke jalan.ya simpel Pemerintah jgn bikin ulah, Contohnya bikin omnibus low,,yg turun bkn cuma fpi..😂",1,0
38,Saran kepada pemerintah dan Presiden Jokowi  ; karena Tujuan utama nya Omnibus law adalah Kemajuan Bersama yang Merata bagi Seluruh Rakyat Indonesia di semua wilayah NKRI... Maka Di Pusat  perlu dibentuk Satuan Tugas Khusus dibawah presiden ;  Satu Ketua sebgai Direktur /koordi,1,0
39,Saran kepada pemerintah dan Presiden Jokowi  ; karena Tujuan utama nya Omnibus law adalah Kemajuan Bersama yang Merata bagi Seluruh Rakyat Indonesia di semua wilayah NKRI... Maka Di Pusat  perlu dibentuk Satuan Tugas Khusus dibawah presiden ;  Deketuai oleh Satu Ketua yang...,1,0
40,"Pikiran buruk sangka: ternyata pulangnya HRS kembali ke Indonesia sangat menguntungkan, dibutuhkan dan disiapkan oleh pemerintah untuk menutupi isu omnibus law dan isu-isu yang lain  yang mana jauh lebih penting. Hmm",1,0
41,"@DTanjung15 Belum tidur juga rupanya, nyai mungkin ada kepentinganya org2 yg punya kepentingan yg merasa terusik proyeknya jadi mereka mau menggunakan jasa riziek kan klo rizik mungkin bisa menggalang umat fpi dan kadrun untuk demo besar2an lalu  menyerang pemerintah dan mengagalkan omnibus.",1,0
42,Kira-kira yang dulu ikut menawarkan ke pemerintah pakai teknik Omnibus Law lalu kecele karena substansinya sekarang merasa berdosa gak sih?,0,1
43,Anak muda lulusan Ivy League pemerhati kebijakan publik corong program pemerintah kok diem-diem bae ya sejak Omnibus Law disahkan?,1,0
44,"- OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  Pembatasan PMA 30% telah di HAPUS, dalam UU Omnibus Law subsektor Hortikultura Pasal 100 menyatakan pemerintah mendorong penanaman modal dalam usaha Hortikultura Ini Berpeluang Dongkrak Investasi .  https://t.co/nNjXGER5Gq",1,0
45,@Muhamma82123843 Apa kabar dengan demo omnibus low yg kemarin?😏 Trus salahkan pemerintah nya dong ngapain tutup jalan tol :v. Ya intinya sih yg iri tetap iri yg dengki tetap dengki yg panas makin kepanasan,1,0
46,"@jadirealistis @tubirfess 😂pemerintah udh punya deal sama kubu HRS. Kaum liberal, termasuk yg kmrn demo omnibus udh ga ada harapan. Tapi gpp, masih bisa jumawa koq di sosmed, ya, sosmed doang.",1,0
47,"nyimak lah sat, kmrn gue udh naikin ht mati matian gue pelajarin dulu apa itu omnibus law sampe diancem sekolah dikira gue nyebarin hoax, ni tololnya kaya pipa rucika ya? mengalir sampe jauh kedalam dirimu meresap!! kalo mau kita naikin suruh korek dulu kuping pemerintah!",1,0
48,"presiden ga mau ngeluarin perpu pembatalan uu omnibus, jadi rakyat harus terima 4 tahun kedepan ngelihat makin banyak konflik agraria, yg rakyat gabisa nuntut dg adil karna pengusaha kaya dilindungi pemerintah pake ini UU cilaka. #reformasidikorupsi #tolakuuciptakerja",1,0
49,"Rasa-rasanya pun pemerintah sekarang lebih takut dengan massa aksi bela islam daripada massa aksi omnibus. Walau dalam konpers terlihat tenang, terbukti ketika mereka turun ke jalan, bandara langsung riweuh dan jalan tol macet total. Benar2 tidak bisa diremehkan.",1,0
50,Orang orang sudah menjerit akibat omnibus law. Tapi pemerintah conge gak mau denger.,0,1
51,Omnibus Law dan kepulangan Pangeran TiangFeng adalah settingan pemerintah untuk Herd Immunity,0,1
52,"@AirinAirin_NZ @jokowi @mohmahfudmd sampai kapan kalian ngebela tindakan pemerintah yang bisa kita bilang gagal, terutama yang sedang hangat seperti pengesahan omnibus law?",0,0
53,"RUU KPK, OMNIBUS LAW, dan lain-lain bukannya sudah disuarakan dalam 411, 212, dan sebagainya? Padahal saat itu oposisi sangat kuat utk mengingatkan pemerintah supaya lebih bijak lagi.",1,0
54,Keputusan pemerintah membuat Omnibus Law dan mengesahkan UU Cipta Kerja dinilai tepat oleh para pelaku usaha di Tabalong. Mereka optimis perekonomian akan membaik di tengah krisis akibat pandemi.  https://t.co/xiSOeF1r3f,1,0
55,"OMNIBUS LAW CIPTA LAPANGAN KERJA Pemerintah sengaja mengubah sejumlah ketentuan terkait investasi guna menarik aliran modal ke dalam negeri. Selanjutnya, modal itu akan digunakan untuk menyerap tenaga kerja Indonesia. Stop Aksi Perparah Pandemi #WaktunyaKerjaBukanAksi  https://t.co/P2J86nn1jc",1,0
56,@MattSelamet @her_fnu @iwilson69 Melenceng dr komen anda.. saya cuman menanggapi kenapa kluster demo omnibus dll ga ada.. ya karena ga ada yg test / ngaku.. klo soal di testkan pemerintah ya terserah pemerintahnya,1,0
57,@outraandalas @felixsiauw 🤭🤭Buktinya ding kalau saya BuzzeRP. Kalau BuzzeRP tweet2 saya ga bakal kontra dengan keputusan pemerintah seperti omnibus law. Liat aja sendiri. Saya juga ada ada kebencian sama beliau HRS. Fitnah lebih kejam dari pembunuhan lho,1,0
58,"bias pasti ada antara kasus penjemputan HRS sama demo omnibus law kmrn di tengah pandemi. tp urgensinya jg perlu diliat dan sebetulnya ga apple to apple, mengingat OL cacat formil dan dampaknya luas buat rakyat,, rakyat pun perlu nunjukin powernya untuk kontrol pemerintah",1,0
59,"nih nih nih  halu halu aja .  tiba tiba di pidato pertamanya BELIAU berkata : ""MARI KITA DUKUNG PEMERINTAH INDONESIA DAN PRESIDEN, SERTA KITA TEGAKKAN OMNIBUS LAW"" .  .  halu ini pliss .  lucu banget gue ih parah",1,0
60,"Rancangan UU Omnibus Kelautan harus bisa segera dibahas pemerintah dan DPR untuk menegaskan posisi Bakamla dan pos anggaran mandirinya. Sebagai negara yg mencanangkan arah politik Poros Maritim Dunia, agak aneh jika kita belum memiliki Bakamla yang kuat.  https://t.co/a1bDooj5m4  https://t.co/4FS5zE0aOr",1,0
61,"Refleksi Hari Pahlawan, GMNI Desak Pemerintah Terbitkan Perppu Omnibus Law  https://t.co/5k2F7dydOR  https://t.co/DlllcE9XSF",0,1
62,byknya Negara muji langkah brani pemerintah an Jokowi- Ma'ruf mewujudkan Omnibus Law UU Cipta krj #WaktunyaKerjaBukanAksi  https://t.co/D2Z3eHZqnG,1,0
63,"@tubirfess Misal dia vokal lawan pemerintah sekarang soal Omnibus Law, Polemik Pembangunan Pulau Komodo, gua dukung.",0,1
64,Pemerintah beserta semua pihak berkomitmen dan yakin bahwa Omnibus Law Cipta Kerja merupakan solusi dari persoalan Bangsa. Omnibus Law Cipta Kerja memberi manfaat dan kebaikan bagi Rakyat Indonesia. #WaktunyaKerjaBukanAksi Stop Aksi Perparah Pandemi  https://t.co/OYo9scBEBh,1,0
65,"@trryyaa @tubirfess bukan. maknanya, dia gabisa diremehin. dia punya influence lumayan gede. pemerintah harus hati-hati, salah langkah dikit ya mampus.  tbh aja ya, demo tolak omnibus law, tolak ruu kpk, ujung ujungnya tetep gol kan itu ruu? mereka? demo penjarakan ahok, sukses, ahok dipenjara.",1,0
66,"@bukanakunambist Ada yg bilang sengaja di biarin pemerintah boar jadi public enemy, dikala kita tau sndiri trust masy trhadap pemerintah lagi kurang, alias pengalihan isu, konspirasi nya ada yg bgtu, bisa bisa nya pulang pas abis omnibus law,",1,0
67,"@egapangestika @uzikbaroroh @adsafha @afrkml @bloomishrose @raajagobaal @falla_adinda Demo omnibus law harus dilakukan saat pandemi karena kebijakannya banyak merugikan rakyat sangat merugikan dan tindakan pemerintah yg gak dengerin aspirasi rakyat, urgensinya ialah menyelamatkan buruh2 dan calon buruh di indonesia, biar pemerintah berpikir ulang",1,0
68,"@MndJaya @eko_kuntadhi Kasian yg demo omnibus law , sama pemerintah tetep sah jd undang2, sama pemerintah dicuekin",0,0
69,"Pada pasal omnibus law cipta kerja, pemerintah menetapkan batasan luas maksimum dan luas minimum penggunaan lahan untuk usaha perkebunan. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/YWkzct3BN8",1,0
70,(Sebagian) orang pemerintahan peduli protokol kopit selama nggak mengganggu pilkada. Pilkada &gt;&gt; kopit  (Sebagian) SJW peduli protokol kopit kecuali ketika aksi demo. Demo &gt;&gt; Kopit  (Sebagian) nakes sama aja dengan pemerintah/SJW. Kumpul2 menyambut RS/demo omnibus &gt;&gt; kopit,1,0
71,Pemerintah beserta semua pihak berkomitmen dan yakin bahwa Omnibus Law Cipta Kerja merupakan solusi dari persoalan Bangsa.  Omnibus Law Cipta Kerja memberi manfaat dan kebaikan bagi Rakyat Indonesia.  OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/QYaDPKtSoN,1,0
72,"Plot twist: HRS dibawa pulang buat bikin ribut, spy isu omnibus law, isu ham, c0r0n4, n ketidakbecusan pemerintah ketutup sama keributan ini.  #WelcomeBackIBHRS",1,0
73,Pengamat:  Pemerintah dorong pertumbuhan ekonomi dengan Omnibus Law OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/9zVIiJxNAp,1,0
74,"- OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  Pembatasan PMA 30% telah di HAPUS, dalam UU Omnibus Law subsektor Hortikultura Pasal 100 menyatakan pemerintah mendorong penanaman modal dalam usaha Hortikultura Ini Berpeluang Dongkrak Investasi di Sektor Pertanian .  https://t.co/EXIK2eeO8p",1,0
75,Melalui Omnibus Law pemerintah tingkatkan investasi dan buka lapangan kerja OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/tUs2Y7nMEs,1,0
76,"urgensi dari pembahasan (RUU) Cipta Kerja adalah untuk merespons dinamika perubahan global. Melalui Omnibus Law, pemerintah hendak mendorong pertumbuhan ekonomi melalui penciptaan lapangan kerja. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/PVkWjCiXvJ",1,0
77,Omnibus Law UU Cipta Kerja merupakan strategi pemerintah untuk mengubah kondisi dan iklim usaha di Indonesia agar mampu bersaing dengan negara lain.  OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/QMMrpNKQfo,1,0
78,"Omnibus Law tanggapan dari pemerintah atas tuntutan masyarakat, yang di inginkan perluasan lapangan kerja , dan penciptaan iklim yang kondusif bagi investasi juga dunia usaha. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/AgBFBefhSI",1,0
79,Omnibus law ini dibuat pemerintah untuk memangkas beberapa UU sekaligus untuk mempermudah investasi dan menciptakan lapangan kerja sesuai nama undang-undangnya OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/LovRxoALiY,1,0
80,"Sederet manfaat Omnibus Law, Pemerintah Bisa Tingkatkan Investasi dan Buka Lapangan kerja, pengangguran dapat di tanggulangi dan Rakyat menjadi lebih sejahtera.  OBL Laju NKRI Maju.., itu Pasti...!!! #FaktanyaInvestasiBukaPekerjaan  https://t.co/3XNOkqa6bF",1,0
81,dengan hadirnya UU Omnibus Law Cipta Kerja menunjukkan pemerintah berusaha membangkitkan ekonomi. Undang-undang tersebut menguntungkan pekerja dan tidak merugikan pengusaha OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/9bnTeTgItJ,1,0
82,Omnibus law ini dibuat pemerintah untuk memangkas beberapa UU sekaligus   OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan Siapppp  https://t.co/dlpd87Buz1,0,0
83,"Selain Cipta Kerja, ada dua lagi Omnibus Law yang diajukan pemerintah untuk disahkan, yakni RUU Perpajakan, dan RUU Ibu Kota Baru. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan",1,0
84,Omnibus law ini dibuat pemerintah untuk memangkas beberapa UU sekaligus untuk mempermudah investasi dan menciptakan lapangan kerja sesuai nama undang-undangnya. Namun beberapa pasal dianggap malah merugikan kaum buruh. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan,1,0
85,"The Omnibus Investment Code merupakan serangkaian peraturan yang memberikan insentif komprehensif, baik fiskal maupun non-fiskal, yang dipertimbangkan oleh pemerintah Filipina dalam rangka pembangunan nasional. OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan",1,0
86,Pemerintah Dorong Pertumbuhan Ekonomi dengan Omnibus Law OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan  https://t.co/PSD1lfhr8r,0,0
87,"Selain Cipta Kerja, ada dua lagi Omnibus Law yang diajukan pemerintah untuk disahkan, yakni RUU Perpajakan, dan RUU Ibu Kota Baru.   OBL Laju NKRI Maju #FaktanyaInvestasiBukaPekerjaan Siapppp  https://t.co/YZWEnAUyra",1,0
88,"Ciaah buzzer mulai nyerang. Tapi #nyusahin pemerintah sih, omnibus kok tetep diputusin",0,1
89,"@NorthTiger28 pemerintah kerja kok, itu omnibus law kan hasil kerja mereka  lawan di MK. di jalan ga mengubah apa2",0,0
90,Keputusan Pemerintah Membuat Omnibus Law Sudah Tepat.  Sebagai Pelaku Usaha Di Kalsel Dirinya Optimis Iklim Perekonomian Di Kabupaten Barito Kuala Dan Kalimantan Selatan Dapat Semakin Baik Di Tengah Pandemi Covid-19.  Kerja Itu Perlu #OBLBantuKorbanPHK  https://t.co/Sybm4gsOBE,1,0
91,UU Omnibus Law Cipta Kerja akan memberikan kontribusi positif yang sangat besar kepada upaya pemerintah dalam melindungi hak-hak dan meningkatkan kesejahteraan pekerja/UMKM di Indonesia.  #UUCiptaKerja #SolusiBaikUntukNegeri  https://t.co/egnZOIxUMH,1,0
92,"Omnibus Law adalah untuk merespons dinamika perubahan global. Melalui Omnibus Law, pemerintah hendak mendorong pertumbuhan ekonomi melalui penciptaan lapangan Kerja Itu Perlu #OBLBantuKorbanPHK  https://t.co/zpIeGOs1A5",1,0
93,Salah satu jalan reformasi struktural yg ditempuh pemerintah guna memperbaiki kemudahan berusaha bagi sektor UMKM adalah melalui Omnibus Law Undang-Undang Cipta Kerja.  Jangan Abai Prokes Kovid #UMKMSuburBuruhMakmur  https://t.co/hpO9JVNUUA,1,0
94,"Omnibus Law Cipta Kerja Soal Teknologi 4G, Pemerintah Diingatkan untuk Adil  https://t.co/iJqjxbwGOF #TempoTekno",0,0
95,"Buruh Demo Tolak Omnibus Law Cipta Kerja, Ini Tuntutan Pengunjuk Rasa Terhadap Pemerintah Aceh  https://t.co/W4Kgh5Tpta",0,0
96,"pemerintah bisa aja pengalihan isu omnibus law nya anjg, kartu as dikeluarin semua, gisel jedar anya",1,1
97,"Tujuannya bukan lagi menolak isi omnibus law, melainkan mendelegitimasi pemerintah sah yang berkuasa. Isunya liar sukar dikendalikan. Demo bukan perkara mudah. Bukan semata teriak dan gelar spanduk.",1,0
98,"Penolakan Omnibus Law pada dasarnya sudah ada sejak awal adanya rencana RUU Omnibus oleh pemerintah. Hingga pada akhirnya saat ini sudah diteken oleh Presiden RI. Saat rakyat menyatakan menolak, maka atas kepentingan siapa kebijakan penyusunan hingga pengesahan RUU ini ditujukan.",0,0
99,Menko Perekonomian Airlangga Hartarto menyatakan pemerintah akan sangat terbuka dalam menyusun aturan-aturan turunan Omnibus law Cipta Kerja.  https://t.co/iZFJbJnOsC,0,0
100,@Dennysiregar7 Rizik pro omnibus law? Membantu pemerintah wkwk,0,1
101,@pakaipeci si gissel klo kagak salah kan salah satu BUZZERp yg disewa PEMERINTAH utk KAMPANYE OMNIBUS LAW...  🤣🤣🤣🤣  apa kabar @KSPgoid @GeneralMoeldoko @kemkominfo,1,0
102,"@hsyjsuh Kalo lu ngomongin bantu di sosmed emg pemerintah batalin omnibus? Abang"" dan bapa"" kita yg turun ke jalan buat demo aja ga di gubris, tp thanks loh ampe meledak bantuan dr kpopers",1,0
103,"@detikcom @detikfinance Udah ga ngerti lg sama 'Pemerintah' Indonesia ini. Barang import ditahan dipelabuhan!! Percuman sahin Omnibus Law, kalo perusahaan asing brgnya gabsa masuk ke Indo,mo jualan apa?? Alhasil karywan gajinya ketunda krna perusahaan gaada pemasukan krna brg ditahan. Dahlah capek aku!!",1,0
104,"Kawan Aliansi Mapala Bogor Bergerak mengibarkan bendera sebagai bentuk protes terhadap pemerintah di Tebing ciampea, desa ciaruten ilir, kec Cibungbulang, kab Bogor.  ""Kejahatan Ham tak pernah selesai, Omnibus Law bukan untuk rakyat. Masih percaya pemerintah?""  #MosiTidakPercaya  https://t.co/kj5FULfSaB",1,0
105,"Firman menyebutkan masyarakat yang menolak UU Cipta Kerja sebenarnya tidak melihat secara utuh mengenai Omnibus Law tersebut, sehingga langkah pemerintah memang sudah tepat adanya UU Cipta Kerja ini. Optimis Vaksin Atasi Korona #HarapanBagiAngkatanKerja",1,0
106,"Presiden Direktur Maspion Group, Alim Markus menilai bahwa penetapan omnibus law sudah tepat waktu  sebagai upaya pemerintah untuk menetapkan aturan yang simple dan memperbaiki iklim investasi di Indonesia.  Optimis Vaksin Atasi Korona #HarapanBagiAngkatanKerja  https://t.co/8pjHWVZasJ",1,0
107,#MGTNews  Pemerintah mengklaim membuka ruang lebar kepada masyarakat untuk memberikan masukan dan usulan dalam penyusunan aturan turunan atau peraturan pemerintah (PP) dari Omnibus Law UU Cipta Kerja  https://t.co/TwEfY42S3a,1,0
108,"@AREAJULID Pengalihan isu gitu lohhhh dari pemerintah buzzer pinter pakenya bokep jadi ketutup semua, jadi gada yg berkoar2 omnibus udah dittd sama Aa Jokowi Dodol",1,1
109,"Kepala Staf Kepresidenan Moeldoko mengatakan, omnibus law Undang-Undang Cipta Kerja merupakan upaya pemerintah agar Indonesia dapat mengikuti kompetisi global.  Optimis Vaksin Atasi Korona #HarapanBagiAngkatanKerja  https://t.co/G2SkxTVMTk",1,0
110,"Kepala Staf Kepresidenan Moeldoko mengatakan, omnibus law Undang-Undang Cipta Kerja merupakan upaya pemerintah agar Indonesia dapat mengikuti kompetisi global.  https://t.co/7gjipA9n9P Optimis Vaksin Atasi Korona #HarapanBagiAngkatanKerja",1,0
111,Omnibus Law Cipta Kerja telah resmi menjadi undang-undang. Kini pemerintah tengah menyusun sederet peraturan turunan yang menjadi pedoman pelaksanaan UU tersebut.,0,0
112,"Empat hari usai Presiden Jokowi meneken UU Cipta Kerja, pemerintah membuat portal resmi mengenai informasi tentang UU sapu jagat atau omnibus law ini.  https://t.co/gosPY3HU3o",1,0
113,Wakil Ketua MPR : Pemerintah Harus Buktikan Omnibus Law Bisa Jadi Penyelamat  https://t.co/U6b5cALXS1 lewat @radarbogorID,0,1
